surface	primary_url	status_snapshot_url	decision_status_as_of_2026_08_23	published_or_status_date	efs_disposition	review_state	note
ARIA in HTML	https://www.w3.org/TR/html-aria/	https://www.w3.org/TR/2026/REC-html-aria-20260811/	Recommendation	2026-08-11	durable semantics authority	PRODUCT_REVIEWED	Prefer native HTML
WAI-ARIA 1.2	https://www.w3.org/TR/wai-aria-1.2/	https://www.w3.org/TR/2023/REC-wai-aria-1.2-20230606/	Recommendation	2023-06-06	durable semantics baseline	PRODUCT_REVIEWED	ARIA supplies semantics rather than behavior
WAI-ARIA 1.3	https://www.w3.org/TR/wai-aria-1.3/	https://www.w3.org/TR/2026/WD-wai-aria-1.3-20260604/	Working Draft	2026-06-04	forward watch	PRODUCT_REVIEWED	Pin exact selected features
Accessible Name 1.2	https://www.w3.org/TR/accname-1.2/	https://www.w3.org/TR/2026/WD-accname-1.2-20260805/	Working Draft	2026-08-05	diagnostic authority	PRODUCT_REVIEWED	Real browser and AT evidence still required
Core AAM 1.2	https://www.w3.org/TR/core-aam-1.2/	https://www.w3.org/TR/2026/CRD-core-aam-1.2-20260805/	Candidate Recommendation Draft	2026-08-05	diagnostic authority	PRODUCT_REVIEWED	Mapping document is not conformance result
HTML AAM 1.0	https://www.w3.org/TR/html-aam-1.0/	https://www.w3.org/TR/2026/WD-html-aam-1.0-20260805/	Working Draft	2026-08-05	diagnostic authority	PRODUCT_REVIEWED	Custom-element mapping remains fixture-sensitive
Pointer Events 3	https://www.w3.org/TR/pointerevents3/	https://www.w3.org/TR/2026/REC-pointerevents3-20260630/	Recommendation	2026-06-30	durable pointer foundation	PRODUCT_REVIEWED	Pointer support does not replace keyboard or AT
UI Events	https://www.w3.org/TR/uievents/	https://www.w3.org/TR/2026/WD-uievents-20260221/	Working Draft	2026-02-21	required-forward input profile	PRODUCT_REVIEWED	Native event behavior remains browser-tested
Input Events 2	https://www.w3.org/TR/input-events-2/	https://www.w3.org/TR/2026/WD-input-events-2-20260501/	Working Draft	2026-05-01	required-forward editing profile	PRODUCT_REVIEWED	IME and beforeinput behavior remain fixture-sensitive
Web App Manifest	https://www.w3.org/TR/appmanifest/	https://www.w3.org/TR/2026/WD-appmanifest-20260813/	Working Draft	2026-08-13	product-required install packaging	PRODUCT_REVIEWED	UA install UI remains policy
Service Workers	https://www.w3.org/TR/service-workers/	https://www.w3.org/TR/2026/CRD-service-workers-20260812/	Candidate Recommendation Draft	2026-08-12	product-required offline/update tool after generation fixture	PRODUCT_REVIEWED	Never guest correctness or an always-running daemon
Web Cryptography Level 1	https://www.w3.org/TR/WebCryptoAPI/	https://www.w3.org/TR/2017/REC-WebCryptoAPI-20170126/	Recommendation	2017-01-26	durable common-algorithm adapter	PRODUCT_REVIEWED	Exact algorithm vectors required
Web Cryptography Level 2	https://www.w3.org/TR/webcrypto-2/	https://www.w3.org/TR/2025/WD-webcrypto-2-20250422/	First Public Working Draft	2025-04-22	required-forward by exact algorithm	PRODUCT_REVIEWED	No universal Ed25519/X25519 or Ethereum algorithm assumption
WebRTC	https://www.w3.org/TR/webrtc/	https://www.w3.org/TR/2025/REC-webrtc-20250313/	Recommendation	2025-03-13	optional peer/media profile	PRODUCT_REVIEWED	Network privacy and teardown remain explicit
WebTransport	https://www.w3.org/TR/webtransport/	https://www.w3.org/TR/2026/CR-webtransport-20260730/	Candidate Recommendation Snapshot	2026-07-30	required-forward low-latency transport profile	PRODUCT_REVIEWED	Not guest correctness
WebGPU	https://www.w3.org/TR/webgpu/	https://www.w3.org/TR/2026/CRD-webgpu-20260820/	Candidate Recommendation Draft	2026-08-20	specialized forward compute/render profile	PRODUCT_REVIEWED	Derived output never protocol truth
WebNN	https://www.w3.org/TR/webnn/	https://www.w3.org/TR/2026/CRD-webnn-20260813/	Candidate Recommendation Draft	2026-08-13	specialized forward inference profile	PRODUCT_REVIEWED	Model identity and output remain qualified
ECMA-262	https://262.ecma-international.org/17.0/	NOT_APPLICABLE	17th edition	2026-06	durable modern language baseline	PRODUCT_REVIEWED	Living draft changes are separately pinned
ECMA-402	https://402.ecma-international.org/13.0/	NOT_APPLICABLE	13th edition	2026-06	durable presentation baseline	PRODUCT_REVIEWED	Locale data never canonical truth
ECMA-429	https://ecma-international.org/publications-and-standards/standards/ecma-429/	NOT_APPLICABLE	1st edition	2025-12	portability floor not browser ceiling	PRODUCT_REVIEWED	Does not restrict richer Web APIs
TC39 Signals	https://github.com/tc39/proposal-signals	NOT_APPLICABLE	Stage 1	2026-08-23 snapshot	owner-selected required-forward state shape	PRODUCT_REVIEWED	Exact polyfill and adapter remain pinned
TC39 Temporal	https://tc39.es/proposal-temporal/	NOT_APPLICABLE	Stage 4	2026-05	required-forward time adapter	PRODUCT_REVIEWED	Expected ECMAScript 2027
TC39 Explicit Resource Management	https://github.com/tc39/proposal-explicit-resource-management	NOT_APPLICABLE	Stage 4	2026-05	required-forward internal lifecycle tool	PRODUCT_REVIEWED	Parser/build profile required
TC39 Decorators	https://github.com/tc39/proposal-decorators	NOT_APPLICABLE	Stage 2.7	2026-08-23 snapshot	optional pinned build transform	PRODUCT_REVIEWED	Never public ABI
WebAssembly Core 3.0	https://webassembly.org/news/2025-09-17-wasm-3.0/	NOT_APPLICABLE	completed specification generation	2025-09-17	foundational exact feature profiles	PRODUCT_REVIEWED	No generic engine-support shortcut
WebAssembly Component Model	https://github.com/WebAssembly/component-model	NOT_APPLICABLE	Phase 1	2026-08-10 registry snapshot	strategic target through exact browser adapter	PRODUCT_REVIEWED	Not a native browser ABI
WebAssembly JS Promise Integration	https://github.com/WebAssembly/js-promise-integration	NOT_APPLICABLE	Phase 5	2026-08-10 registry snapshot	optional forward async bridge	PRODUCT_REVIEWED	Not merged Core or universal shipment
WebAssembly ESM Integration	https://github.com/WebAssembly/esm-integration	NOT_APPLICABLE	Phase 3	2026-08-10 registry snapshot	loader experiment	PRODUCT_REVIEWED	Does not replace exact closure verification
WebAssembly Web CSP	https://github.com/WebAssembly/content-security-policy	NOT_APPLICABLE	Phase 5	2026-08-10 registry snapshot	named policy fixture dependency	PRODUCT_REVIEWED	Compilation behavior must be measured
WASI 0.3.1	https://github.com/WebAssembly/WASI/releases/tag/v0.3.1	NOT_APPLICABLE	released	2026-08-11	new forward async component profile	PRODUCT_REVIEWED	WASI 0.2 remains a distinct compatibility realization
Unicode	https://www.unicode.org/versions/Unicode17.0.0/	NOT_APPLICABLE	17.0.0	2025-09-09	durable versioned text foundation	PRODUCT_REVIEWED	Pin UAX and UTS revisions independently
CLDR	https://cldr.unicode.org/index/downloads/cldr-48	NOT_APPLICABLE	48.2	2026-03-17	durable locale-data input	PRODUCT_REVIEWED	Engine output remains presentation
MessageFormat 2	https://www.unicode.org/reports/tr35/tr35-78/tr35-messageFormat.html	NOT_APPLICABLE	stable UTS 35 Part 9	2026-03-17	stable inert catalog direction	PRODUCT_REVIEWED	Compiler and EFS function subset remain evidence-gated
WebMCP	https://webmachinelearning.github.io/webmcp/	NOT_APPLICABLE	Draft Community Group Report	2026-08-19	experimental agent projection	PRODUCT_REVIEWED	Not a W3C Recommendation or authority model
